age,male,edu,time_served,charges,n_theft,n_sex_abuse
25,1,10,1,1,0,0
52,1,10,0,0,6,0
43,1,12,0,0,0,0
28,1,11,0,0,5,0
30,1,14,0,1,2,0
50,1,10,0,0,0,0
32,1,12,1,0,0,0
30,1,12,0,0,0,0
30,1,17,0,1,0,0
23,1,5,1,0,30,0
29,1,7,1,0,1,0
28,1,12,0,0,4,0
39,0,14,0,1,0,0
30,1,12,1,1,0,0
33,1,12,0,0,0,0
51,1,12,0,1,0,0
44,1,10,1,0,0,0
27,1,10,0,0,2,0
65,0,12,0,0,0,0
30,0,9,1,0,4,0
41,0,10,0,0,0,0
33,0,10,0,0,3,0
31,0,12,0,1,0,0
31,0,12,0,1,5,0
40,0,10,0,0,0,0
29,1,5,1,0,0,0
45,1,11,0,0,0,0
31,1,12,0,0,2,0
22,1,12,0,0,5,0
39,1,12,0,0,2,0
28,1,9,0,1,0,0
50,1,11,0,1,0,0
43,1,10,0,0,0,0
23,1,12,0,0,0,0
23,1,8,0,0,0,0
34,1,17,0,0,3,0
38,1,12,1,0,3,1
29,0,12,0,1,20,0
33,1,12,0,0,0,0
33,1,11,1,1,0,0
32,1,9,0,0,5,0
56,1,17,0,0,4,0
38,1,9,1,0,5,0
35,1,11,1,1,1,0
25,1,12,0,0,0,0
36,1,10,0,0,0,0
43,1,8,1,0,0,0
26,1,12,0,0,0,0
33,1,9,0,0,2,0
47,1,6,0,0,0,0
32,0,12,0,1,0,0
58,1,18,0,0,0,0
46,1,12,0,0,0,0
47,1,9,0,0,0,0
27,1,12,0,0,0,0
33,0,12,0,0,0,0
40,0,12,0,0,0,0
33,1,5,0,0,0,0
24,1,11,0,0,0,0
26,1,12,0,0,0,0
38,0,12,0,0,4,0
36,1,11,1,0,0,0
29,0,12,0,0,0,0
32,1,12,0,0,0,0
21,0,10,0,0,3,0
46,1,12,1,0,0,0
48,1,10,0,0,0,0
37,1,9,0,0,0,0
43,1,11,0,0,0,0
32,1,9,0,0,1,0
49,1,12,0,0,0,0
35,1,12,0,0,0,0
48,1,9,0,0,0,0
49,1,12,0,1,0,0
44,0,10,0,0,0,0
30,1,12,0,0,0,0
24,1,12,0,0,0,0
40,1,12,0,1,2,0
44,1,12,0,0,0,0
27,1,12,1,0,0,0
23,1,11,0,0,0,0
50,1,12,0,0,0,0
40,1,12,0,0,0,0
37,1,11,0,0,0,0
34,1,12,0,1,0,0
46,1,12,0,0,0,0
35,1,12,0,0,0,0
49,1,12,0,1,0,0
32,1,12,0,1,0,0
27,1,12,0,0,0,0
37,1,10,0,0,0,0
44,1,15,0,0,0,0
40,1,10,1,0,0,0
42,1,10,0,0,0,0
42,0,11,0,1,0,0
53,1,9,0,0,0,0
33,0,10,0,0,0,0
60,1,9,0,0,0,0
64,1,17,0,0,0,0
29,1,11,0,1,0,0
25,1,10,0,0,0,0
29,1,9,0,1,2,0
51,1,17,0,0,0,0
38,1,16,1,1,0,0
41,1,12,0,0,0,0
29,1,10,1,1,0,0
33,1,12,1,1,0,0
26,1,10,0,1,0,0
30,1,12,0,1,0,0
28,1,11,1,0,0,0
28,1,12,1,1,2,0
31,1,12,1,0,0,0
56,1,17,1,0,0,0
48,1,20,0,0,0,0
30,1,11,0,1,0,0
28,1,12,1,0,0,0
23,1,10,1,0,0,0
24,1,11,0,0,0,0
23,1,12,0,0,2,0
47,1,11,1,1,0,0
28,1,12,0,0,0,0
28,1,12,0,1,0,0
26,1,12,1,1,0,0
43,1,12,0,0,0,0
27,1,10,0,1,0,0
29,1,12,0,0,2,0
27,1,11,0,0,0,0
27,1,12,1,0,0,0
35,1,10,0,1,0,0
28,1,12,1,0,0,0
27,1,12,0,0,0,0
25,1,9,0,0,0,0
32,1,14,1,0,0,0
22,1,12,1,0,2,0
27,1,11,0,1,0,0
29,1,10,0,1,0,0
26,1,9,0,1,0,0
41,1,12,0,0,3,0
55,1,12,0,0,0,0
38,1,11,0,1,0,0
22,1,12,1,0,0,0
26,1,10,0,0,0,0
27,0,9,0,1,0,0
32,1,12,0,0,0,0
30,1,11,1,0,0,0
28,1,12,0,1,0,0
32,0,15,0,0,0,0
35,1,12,0,0,0,0
33,1,11,0,0,0,0
31,1,12,0,0,0,0
37,1,9,0,0,0,0
53,1,11,0,0,0,0
56,1,12,1,0,3,0
36,1,12,0,0,0,0
28,1,11,0,1,0,0
41,0,12,0,1,0,0
30,1,11,1,0,0,0
23,1,10,0,1,0,0
26,1,12,1,0,0,0
26,1,12,0,0,0,0
31,1,17,0,0,0,0
27,1,12,0,0,0,0
25,1,7,1,0,0,0
29,1,11,0,0,0,0
42,1,12,0,0,0,0
51,1,12,1,0,0,0
47,1,12,0,0,2,0
28,1,11,0,0,0,0
35,1,12,0,1,0,0
37,1,11,0,0,0,0
26,1,12,0,1,0,0
33,1,10,1,0,1,0
38,1,17,0,0,0,0
45,1,11,0,1,2,0
52,1,10,0,1,1,0
33,1,10,0,0,3,0
34,1,15,0,1,0,0
27,1,4,0,1,3,0
44,1,12,0,1,2,0
31,1,15,0,0,2,0
27,0,10,0,0,0,0
67,1,9,0,1,3,0
37,0,12,0,0,1,0
31,1,11,0,0,1,0
39,1,12,0,0,4,0
39,1,9,0,1,0,0
67,1,5,0,1,0,0
45,1,12,0,1,0,0
33,1,12,0,0,1,0
34,1,12,0,1,0,0
29,1,12,0,1,0,0
32,0,11,0,0,4,0
27,1,12,0,0,0,0
34,1,10,0,0,0,0
31,1,16,0,1,10,0
46,1,10,0,1,0,0
46,1,17,0,0,1,0
35,1,12,0,1,0,0
40,1,12,0,0,0,0
29,1,12,0,0,3,0
36,1,12,0,0,15,0
23,1,12,0,0,0,0
44,1,12,0,1,0,0
28,1,12,0,1,1,0
46,1,11,0,0,3,0
36,1,12,0,0,0,0
38,1,9,0,1,0,0
28,1,12,0,0,2,0
28,1,15,0,0,3,0
23,1,11,0,1,0,0
31,1,9,0,0,2,0
34,1,12,0,0,0,0
35,1,10,0,0,3,0
32,1,12,0,0,0,0
60,1,9,0,1,5,0
28,1,12,0,0,0,0
34,1,12,0,1,0,0
42,1,12,0,0,2,0
31,1,10,0,0,1,0
32,1,5,0,1,0,0
45,1,10,0,1,0,0
36,1,10,0,1,0,0
50,1,10,0,0,3,0
21,1,12,0,1,5,0
26,1,12,0,0,0,0
23,1,12,0,0,2,0
37,1,11,0,0,1,0
42,1,12,0,0,2,0
32,1,12,0,0,2,0
22,1,12,0,1,6,0
25,1,10,0,0,0,0
22,1,4,0,0,0,0
42,1,6,0,1,3,0
29,1,12,0,1,0,0
47,1,12,0,1,0,0
27,1,12,0,1,0,0
25,1,12,0,1,0,0
31,1,12,0,1,5,0
29,1,12,0,0,0,0
32,1,11,0,1,0,0
35,1,12,0,0,0,0
41,1,12,0,0,0,0
55,1,10,0,1,0,0
26,1,10,0,0,4,0
21,1,12,0,1,0,0
36,0,12,0,0,0,0
30,1,12,0,1,1,0
44,1,4,0,0,0,0
28,1,12,0,0,2,0
36,1,9,0,1,0,0
31,1,12,0,0,11,0
57,0,11,0,0,0,0
41,1,12,0,0,0,0
54,1,9,0,0,0,0
36,1,8,0,1,10,0
53,1,11,0,0,10,0
31,1,11,0,0,0,0
33,1,12,0,0,0,0
24,1,8,0,1,0,0
25,1,10,0,1,0,0
24,1,9,0,0,0,0
42,1,9,1,0,0,0
59,1,9,0,1,2,0
52,1,12,0,1,4,0
49,0,12,0,1,0,0
42,1,15,0,1,12,0
49,1,12,0,0,0,0
39,1,11,0,1,0,0
50,0,9,0,0,0,0
26,1,9,0,0,3,0
47,1,12,0,1,10,0
35,1,12,0,1,0,0
38,1,22,0,1,5,0
33,1,7,0,1,0,0
40,0,9,0,0,0,0
23,1,10,0,1,2,0
21,1,12,0,1,1,0
32,1,12,0,0,0,0
43,1,12,0,1,0,0
42,1,12,1,0,0,0
36,1,12,0,0,0,0
42,1,15,0,1,0,0
35,1,11,0,0,0,0
66,1,12,0,0,1,0
63,1,7,0,0,1,0
28,1,9,1,0,2,1
32,0,12,0,1,0,0
28,1,11,0,0,2,0
31,1,12,0,0,1,0
49,1,17,0,0,5,0
39,0,11,1,0,0,0
27,1,10,0,1,0,0
36,1,9,0,1,0,0
52,1,11,0,1,0,0
43,1,12,0,1,1,0
33,1,13,0,0,4,0
29,1,12,0,1,0,0
24,1,14,1,0,0,0
42,1,12,0,0,0,0
44,1,6,0,0,3,0
49,1,12,0,0,0,0
25,1,12,0,1,10,0
34,1,5,0,0,0,0
42,1,17,0,1,5,0
34,1,12,0,0,0,0
22,1,9,0,0,2,0
24,1,12,0,1,0,0
42,1,10,0,1,0,0
25,1,10,0,1,0,0
26,1,11,1,0,0,0
29,1,11,0,0,0,0
57,1,12,0,1,10,0
23,1,11,0,1,0,0
64,1,12,0,0,5,0
21,1,11,0,0,0,0
53,1,12,0,0,0,0
42,1,12,0,0,3,0
39,1,12,1,1,0,0
31,1,10,0,1,2,0
24,1,12,0,1,0,0
38,1,14,0,0,0,0
29,1,10,0,1,0,0
22,1,10,0,1,1,0
23,1,11,0,1,7,0
25,1,9,0,0,5,0
51,1,12,0,0,0,0
31,1,12,0,0,1,0
36,1,12,0,1,0,0
52,1,12,0,1,0,0
39,1,9,0,1,0,0
25,1,9,0,0,0,0
33,1,9,0,1,5,5
27,1,9,0,0,2,0
21,1,9,0,1,5,0
40,1,9,0,1,0,0
43,1,9,0,1,3,0
27,1,10,1,1,4,0
52,1,12,0,0,2,0
29,1,8,0,0,2,0
30,1,9,0,1,0,0
41,1,12,1,1,1,0
56,1,12,0,0,2,0
22,1,12,0,1,0,0
34,1,17,0,0,0,0
31,1,12,0,1,0,0
36,1,9,0,0,0,0
29,1,10,0,0,5,0
46,1,15,0,0,15,0
38,1,12,0,1,0,0
27,1,10,0,1,0,0
26,1,9,1,0,2,0
30,1,10,0,1,0,0
33,1,10,0,1,3,0
47,1,12,0,0,0,0
60,1,12,0,0,0,0
58,1,17,0,1,0,0
53,0,6,1,0,0,0
44,1,11,1,0,0,0
54,1,15,0,1,4,0
35,1,10,0,1,2,0
35,1,12,0,1,3,0
47,1,12,0,1,40,0
32,1,11,0,1,0,0
24,1,11,1,0,1,0
23,1,12,0,1,0,0
42,1,11,0,0,0,0
21,1,10,0,1,2,0
53,1,4,0,1,0,0
54,1,12,0,1,0,0
37,1,10,0,1,2,0
40,0,10,0,0,0,0
29,1,11,0,0,5,0
64,1,9,1,1,0,0
26,1,12,0,1,0,0
51,1,17,0,0,0,0
23,1,12,0,1,1,0
38,1,12,0,1,10,0
38,1,12,0,1,3,0
24,1,9,0,0,2,0
49,1,8,0,0,0,0
27,1,9,0,1,2,0
31,1,10,1,1,0,0
34,1,12,0,1,5,0
52,1,12,1,0,3,0
40,1,16,0,1,1,0
42,1,10,0,1,4,0
37,1,12,0,1,0,0
20,1,12,0,1,1,0
20,1,12,0,1,5,0
44,1,12,0,0,20,0
37,1,12,1,1,0,0
24,1,10,0,1,3,0
25,1,12,0,1,0,0
29,1,12,0,1,0,0
30,1,12,0,0,0,0
21,1,12,0,1,30,0
54,1,15,0,0,3,0
43,1,17,0,0,1,0
39,1,14,0,1,0,0
51,1,10,0,0,0,0
47,1,12,0,1,3,0
48,1,11,0,0,5,0
51,1,12,0,1,4,0
69,1,10,0,1,0,0
23,1,15,0,1,0,0
29,1,12,0,1,3,0
40,1,12,0,1,0,0
25,1,12,0,1,0,0
33,1,12,0,1,0,0
66,1,4,0,0,0,0
62,1,12,0,1,0,0
38,1,10,0,1,0,0
32,1,12,0,1,0,0
33,1,10,0,0,0,0
23,1,12,0,1,0,0
25,1,12,0,1,0,0
32,1,11,0,1,0,0
36,1,10,0,1,0,0
24,1,12,0,1,0,0
56,1,9,1,0,2,0
33,1,10,0,1,8,0
30,1,12,0,0,0,0
29,1,11,0,0,0,0
21,1,12,0,0,0,0
32,1,6,0,0,0,0
30,1,12,1,1,0,0
54,1,17,0,0,0,0
24,1,11,0,1,0,0
29,1,17,0,1,0,0
60,1,8,0,0,0,0
23,1,12,0,0,0,0
43,1,10,0,1,4,0
29,1,11,0,1,0,0
29,1,11,0,0,0,0
70,1,12,0,0,0,0
32,1,11,0,0,0,0
31,1,12,1,1,0,0
23,1,12,0,0,0,0
34,1,10,0,0,2,0
35,1,11,0,0,0,0
36,1,12,0,0,3,0
19,1,11,0,0,0,0
32,1,12,0,0,5,0
25,1,9,0,0,0,0
50,1,9,0,1,0,0
43,1,12,0,1,0,0
43,1,9,0,0,0,0
39,1,12,0,0,0,0
48,1,12,0,1,0,0
68,1,19,0,0,2,0
34,1,11,1,1,0,0
30,1,12,0,1,3,0
34,1,12,0,0,0,0
33,1,11,0,1,1,0
58,1,12,0,1,0,0
20,1,10,0,1,0,0
31,1,12,0,0,0,0
24,1,10,0,1,0,0
38,1,9,0,0,0,0
50,1,11,0,0,6,0
31,1,12,0,1,0,0
58,1,10,0,1,3,0
24,1,10,0,1,0,0
44,1,10,0,0,0,0
41,1,11,0,0,0,0
63,1,11,0,1,0,0
20,1,12,0,0,0,0
53,1,12,0,0,0,0
28,1,12,0,1,3,0
55,1,12,0,1,0,0
40,1,10,0,1,0,0
29,1,11,0,0,0,0
53,1,17,0,0,0,0
24,1,9,0,1,0,0
42,1,10,0,0,2,0
30,1,10,0,0,0,0
50,1,12,0,1,0,0
27,1,12,0,0,0,0
44,1,12,0,0,0,0
41,1,11,0,0,0,0
33,1,11,0,0,0,0
30,1,12,0,0,2,0
27,1,12,1,0,0,0
49,1,6,0,0,10,0
41,1,9,0,1,0,0
32,1,11,0,1,0,0
57,1,13,0,0,4,0
24,1,12,0,0,0,0
22,1,9,0,1,0,0
40,1,12,0,0,0,0
48,1,11,0,0,1,0
31,1,7,0,1,1,0
73,1,12,0,1,0,0
33,0,12,0,0,0,0
26,1,12,0,0,3,0
57,1,10,0,0,3,0
31,1,12,0,1,0,0
59,1,19,0,0,0,0
25,1,11,0,0,1,0
56,1,12,0,1,10,0
27,1,12,0,1,0,0
21,1,10,0,0,0,0
33,1,12,0,1,0,0
45,1,12,0,1,0,0
48,0,11,0,0,10,0
32,1,12,0,0,0,0
50,1,10,0,0,13,0
42,1,12,0,1,2,0
28,1,12,0,1,3,0
48,0,10,0,0,0,0
57,1,10,0,0,0,0
50,1,11,0,0,0,0
25,1,12,1,0,0,0
34,1,9,0,0,1,0
28,1,11,0,0,0,0
37,1,11,1,1,0,0
32,1,9,1,1,0,0
59,1,7,0,1,3,0
46,1,4,0,1,0,0
53,1,10,0,1,0,0
49,1,9,0,0,0,0
41,0,10,0,0,0,0
29,1,8,0,0,0,0
48,1,12,0,0,1,0
81,1,12,0,0,2,0
37,1,12,0,1,0,0
31,1,5,0,0,1,0
49,1,9,0,1,2,0
28,1,9,0,0,4,0
29,1,9,0,1,0,0
46,1,12,0,1,0,0
26,1,12,0,1,0,0
53,1,7,0,0,2,0
32,1,12,0,1,0,0
56,1,6,0,1,0,0
24,1,11,0,1,0,0
23,1,11,0,1,0,0
33,1,15,0,0,0,0
25,1,11,0,0,0,0
46,1,15,0,0,3,0
40,1,10,0,1,0,0
48,1,12,1,0,0,0
42,1,5,0,0,0,0
49,1,12,0,0,0,0
38,1,12,0,0,0,0
33,1,10,0,0,0,0
70,1,4,0,0,0,0
34,1,11,0,0,2,0
35,1,4,0,0,3,0
29,1,9,0,0,2,0
26,1,12,0,0,0,0
32,1,9,0,0,1,0
40,1,12,0,0,6,0
52,1,11,0,0,0,0
31,1,12,0,0,0,0
41,1,12,0,0,0,0
37,1,5,0,0,0,0
22,1,12,0,0,0,0
33,1,9,0,0,0,0
41,1,12,0,0,0,0
50,1,12,0,1,0,0
28,1,10,0,1,0,0
21,1,12,0,0,0,0
36,1,12,0,1,0,0
42,1,10,1,0,0,0
69,1,9,0,1,2,0
37,1,10,0,0,0,0
31,1,11,0,0,7,0
39,1,10,0,1,1,0
35,1,12,0,0,2,0
38,1,12,1,0,0,0
26,1,6,0,0,0,0
23,0,10,0,0,2,0
44,1,12,0,0,2,0
32,1,10,0,0,1,0
52,1,19,1,1,3,0
44,1,11,0,0,0,0
35,1,4,0,0,0,0
28,1,9,0,0,0,0
44,1,11,0,1,0,0
36,1,10,0,0,0,0
39,0,4,0,0,0,0
49,1,12,1,0,0,0
40,1,9,1,1,0,0
42,0,12,0,1,0,0
29,1,11,0,0,0,0
38,1,11,0,0,1,0
32,1,9,0,0,0,0
35,1,12,0,0,2,0
30,1,10,0,0,0,0
32,1,11,0,0,0,0
29,1,10,0,0,0,0
39,1,12,0,0,0,0
30,1,7,0,0,0,0
56,1,12,0,1,0,0
32,1,17,0,0,0,0
38,1,12,0,0,0,0
58,1,7,1,0,0,0
43,1,8,0,0,0,0
41,1,12,1,0,2,0
26,1,10,0,0,0,0
27,1,12,0,1,0,0
32,1,10,0,1,0,0
26,1,5,0,0,0,0
31,1,12,0,0,0,0
66,1,6,0,0,0,0
21,1,11,0,1,3,0
27,1,12,0,0,0,0
39,1,11,1,0,1,0
37,1,2,0,1,0,0
43,1,12,0,1,1,0
27,1,7,0,0,0,0
22,1,11,0,1,0,0
27,1,12,0,0,0,0
35,1,8,0,1,0,0
30,1,11,0,0,0,0
40,1,12,1,0,0,0
37,1,9,0,0,0,0
34,1,12,0,0,0,0
68,1,12,0,0,0,0
30,1,12,0,0,0,0
32,1,12,1,0,0,0
28,1,12,0,0,0,5
25,1,12,0,0,0,0
49,1,11,0,0,0,0
42,1,15,0,0,0,0
29,1,12,0,0,0,0
40,1,11,0,0,8,0
29,1,11,0,0,0,0
33,1,9,0,0,3,0
38,1,9,0,0,0,0
50,1,11,0,1,0,0
21,1,8,0,0,3,0
50,1,11,0,0,0,0
26,1,12,0,0,0,0
27,1,9,0,1,0,0
42,1,12,0,0,20,0
55,1,8,0,0,1,0
34,1,12,0,0,0,0
26,1,12,0,1,2,0
37,1,11,0,1,0,0
52,1,12,0,0,0,0
42,1,15,0,1,2,0
38,1,12,0,0,0,0
53,1,8,0,1,2,0
30,1,11,0,0,1,0
51,1,12,0,0,0,0
28,1,9,0,1,0,0
44,1,11,0,0,2,0
44,1,10,0,1,0,0
25,1,9,0,0,0,0
40,1,12,0,1,0,0
39,1,8,0,1,3,0
26,1,11,0,0,1,0
52,1,7,0,1,0,0
32,1,12,0,0,0,0
33,1,12,1,0,3,0
51,1,15,1,0,0,0
53,1,12,0,0,1,0
31,1,10,0,0,10,0
34,1,12,0,0,1,0
27,0,16,1,0,10,0
42,1,11,1,1,0,0
27,1,12,1,0,0,0
39,1,9,0,0,0,0
32,1,10,0,0,0,0
60,1,5,0,0,0,0
42,1,12,0,1,5,0
25,1,14,0,0,0,0
23,1,9,0,0,4,0
46,1,9,0,1,0,0
43,1,10,0,1,1,0
23,1,10,0,0,0,0
34,1,9,0,0,5,0
27,1,9,0,0,10,0
35,1,12,0,1,0,0
35,1,9,0,0,0,0
58,1,7,0,0,1,0
46,1,12,0,0,2,0
30,1,17,0,1,10,0
36,1,11,1,0,1,0
32,1,12,0,0,0,0
30,1,11,0,1,0,0
38,1,12,0,0,2,0
38,1,10,0,0,3,0
39,0,9,1,0,0,0
29,1,12,1,0,2,0
33,0,10,0,1,1,0
47,1,12,1,0,0,0
36,0,12,1,0,0,0
38,1,12,0,0,0,0
26,1,12,0,1,0,0
38,1,11,0,0,3,0
50,1,12,0,0,0,0
63,1,9,0,0,0,0
42,1,12,0,0,0,0
37,1,12,1,1,0,0
71,1,17,1,0,0,0
47,1,12,1,0,0,0
58,1,6,0,1,0,0
42,1,11,0,0,0,0
30,1,12,0,0,0,0
38,1,6,0,1,0,0
38,1,5,1,0,0,0
33,1,12,0,0,0,0
42,1,10,0,0,0,0
36,1,11,0,0,0,0
33,1,12,0,0,0,0
31,1,11,0,1,0,0
53,1,17,0,0,1,0
31,1,9,0,0,0,0
36,1,12,0,0,0,0
25,1,9,1,0,0,0
36,1,11,0,0,0,0
23,1,9,0,0,0,0
42,1,10,0,0,0,0
24,0,9,0,0,1,0
35,1,6,0,0,5,0
35,1,12,0,1,0,0
33,1,12,0,0,0,0
42,1,12,0,0,0,0
22,1,9,0,0,0,0
51,1,11,1,0,0,0
44,1,12,1,0,3,0
26,1,12,0,0,7,0
37,1,12,0,1,0,0
24,1,12,0,0,0,0
21,1,12,0,0,0,0
35,1,12,0,1,0,0
28,1,10,0,0,1,0
37,1,8,0,0,3,0
26,1,10,1,1,20,0
37,1,12,0,0,0,0
47,1,10,0,0,0,0
56,1,17,0,1,0,0
43,0,12,0,0,6,0
23,0,9,0,0,0,0
41,1,8,0,0,0,0
47,1,10,0,0,5,0
38,1,11,0,1,0,0
34,1,12,0,0,0,0
32,1,12,0,1,0,0
29,1,10,0,0,0,0
31,1,9,0,0,0,0
46,1,12,1,0,2,0
26,1,17,0,0,0,0
42,1,12,0,0,0,0
47,1,9,1,1,0,0
30,1,11,1,0,0,0
32,1,10,0,0,0,0
21,1,10,0,0,0,0
30,1,12,0,0,0,0
37,1,10,0,0,0,0
40,1,12,1,0,0,0
45,1,16,1,1,0,0
49,1,12,0,1,0,0
37,1,12,0,1,3,0
47,1,12,0,0,0,0
25,1,13,0,0,0,0
25,0,14,0,0,3,0
30,1,12,0,0,0,0
46,1,11,0,0,0,0
38,1,9,0,1,2,0
29,1,15,0,1,0,0
28,1,10,0,0,0,0
40,1,11,1,0,0,0
42,1,11,0,0,0,0
28,1,11,0,1,0,0
40,1,9,0,0,0,0
37,1,11,0,0,7,0
32,1,9,0,0,0,0
76,1,12,0,0,0,0
43,1,15,0,0,0,0
31,1,12,0,1,0,0
43,1,12,0,0,2,0
30,1,11,0,1,2,0
25,1,10,0,0,0,0
42,1,12,0,0,0,0
30,1,12,0,1,1,0
26,1,10,0,0,5,0
40,1,12,0,0,1,0
39,1,12,0,1,0,0
29,1,12,0,0,0,0
39,1,11,0,0,0,0
39,1,12,0,0,0,0
42,1,12,1,1,0,0
28,1,12,0,0,0,0
39,1,12,0,1,0,0
68,1,12,0,0,0,0
52,1,12,0,1,0,0
43,1,12,0,0,0,0
29,1,12,0,1,1,0
36,1,12,0,0,0,0
30,1,11,0,0,0,0
38,1,9,1,1,0,0
33,0,5,0,0,0,0
63,1,11,1,0,3,0
48,1,12,1,0,0,0
58,1,11,0,0,0,0
34,1,11,0,0,0,0
31,1,11,0,0,0,0
34,1,12,0,1,1,0
33,1,17,1,1,0,0
44,1,10,0,1,0,0
42,1,11,0,1,0,0
45,1,11,0,1,0,0
45,1,8,0,0,1,0
29,1,12,0,0,0,0
31,1,12,0,0,0,0
49,1,16,0,1,0,0
29,1,12,1,1,0,0
31,1,15,0,0,0,0
35,1,7,0,0,0,0
34,1,10,0,0,1,0
45,1,12,1,0,0,0
28,1,11,0,0,1,0
22,1,12,0,0,0,0
33,1,11,0,0,3,0
19,1,10,1,0,0,0
31,1,12,1,1,0,0
35,1,10,1,0,0,0
39,1,11,0,1,1,0
33,1,9,0,0,1,0
38,1,12,0,0,0,0
32,1,7,0,1,0,0
23,1,9,1,0,0,0
51,1,9,0,0,0,0
46,1,10,0,0,0,0
42,1,11,0,0,1,0
42,1,12,0,0,0,0
49,1,10,0,1,0,0
26,1,12,0,0,0,0
44,1,7,0,0,0,0
21,1,9,0,1,0,0
42,1,11,0,0,3,0
41,1,16,0,0,0,0
30,1,12,0,1,0,0
26,1,10,0,0,0,0
29,1,11,1,0,30,0
23,1,11,1,1,0,0
28,1,6,0,0,0,0
20,1,9,1,0,0,0
19,0,12,0,0,0,0
35,1,9,0,0,20,0
32,1,9,0,0,3,0
29,0,9,0,0,0,0
42,1,12,0,0,0,0
21,1,12,0,0,0,0
28,1,11,0,1,0,0
42,1,12,0,0,5,0
30,1,9,1,1,0,0
37,1,12,1,0,0,0
28,1,12,0,1,0,0
53,1,12,0,0,0,0
31,1,4,0,0,0,0
20,1,12,0,0,3,0
37,1,12,0,1,0,0
30,1,13,0,1,0,0
25,1,13,0,0,0,0
31,1,11,0,0,0,0
25,1,12,0,0,7,0
36,1,12,0,0,0,0
34,1,12,0,0,15,0
65,1,7,0,1,0,0
28,1,12,0,0,0,0
27,1,12,0,0,0,0
67,1,5,0,0,0,0
36,1,8,0,0,0,0
